title,introduction
AI-Driven Refactoring: Semantic Reconstruction of Domain Models Using LLM Reasoning.,Domain extraction is a crucial refactoring technique that involves identifying and separating   conduct in-depth semantic analysis of source code beyond basic syntactic parsing.
Toward generating microservice architectures from textual requirements with large language models,While prior studies often rely on source code as the primary  how accurately the LLM extracted  meaningful business  -service communication links proposed by the LLM with those in the
MonoEmbed: Enhancing LLM representations for monolith to microservices decomposition through contrastive learning,"A pre-trained LLM understands general programming syntax but lacks the specialized  knowledge for monolith decomposition. For example, it does not inherently know that createOrder"
MicroDec: Leveraging Large Language Models for Microservice Decomposition,"from the monolithic source code using an Abstract Syntax Tree (AST). We take the   extracted information from source code, we used the BERT-based large language model ’microsoft/"
DDD-Enforcer: An AI-Powered Multi-Agent System for Real-Time Domain-Driven Design Enforcement,"These findings confirm that hybrid LLMstatic analysis effectively maintains DDD compliance  LLM approaches, this pipeline decomposes the complex task of domain extraction into"
Semantic approaches to microservice identification: A systematic literature review,"the meaning-aware analysis of software artifacts. This systematic literature review presents  the  introduced graph-based clustering for microservice extraction, focusing on the coupling"
LogExpertSolver: A Multi-Agent Framework for Domain-Specialized Log Parsing,"the project URL to the LLM, enabling it to autonomously read  straints on LLM output  capabilities [26], LLM cannot perform  clearly available source code to agents for domain"
Large Language Model-based framework for Open Information Extraction,"This thesis introduces and evaluates a novel, modular LLM- legal contents) using an  LLM-based triplet matching process.  to a specific legal case, comparing LLM-based triplet"
Migration of monolithic systems to microservices using AI: A systematic mapping study,"of the ability of Large Language Models (LLM) to identify cohesive and loosely coupled   source code directly to a code-specific LLM such as Code Llama. In this sense, this type of LLM"
Evolution of Textual Domain-Specific Languages in the Context of Model-Driven Engineering,"grammar transformation configurations to further improve the automation level of the co-evolution  of metamodel and grammar; to answer RQ3.4, we explore the potential of LLM in"
Contrastive learning-enhanced large language models for monolith-to-microservice decomposition,"However, recent efforts have been able to adapt the LLM decoder-only transformers into   Microservice extraction using graph deep clustering based on dual view fusion. Information"
Using AI to automate the modernization of legacy software applications,"Typical microservice extraction approaches start by  filter to generate specifications of the  source code, in three modalities -  Thus, we guide the LLM to adhere to the original functional"
MINDS: An NLP-Driven Process Mining Framework for Superior Microservices Decomposition,"techniques focus on static structural analysis of source code, class relationships, data flow   with contemporary LLM capabilities, investigating whether prompt engineering approaches"
Identifying reusable services in legacy object-oriented systems: A type-sensitive identification approach,"dynamic analyses of Java source code. They proposed guidelines to  Second, our method  exclusively leverages source code to  [88] applied CodeBert [104], a large language model to"
QuaRUM: qualitative data analysis-based retrieval-augmented UML domain model from requirements documents,Recent studies have explored LLM applications for generating software models directly  from requirements. A systematic assessment of ChatGPT for UML class diagram generation (
Schema-driven information extraction from heterogeneous tables,"To assess various LLM’s  source code for tables, we employ different strategies to encode  the input table and perform Schema-Driven IE, based on the context length of the chosen LLM."
Extracting Overlapping Microservices from Monolithic Code via Deep Semantic Embeddings and Graph Neural Network-Based Soft Clustering,"generated by a large language model fine-tuned on source code, ensuring  microservice  extraction, allowing classes to have overlapping microservice memberships. • We combine LLM-"
spaLLM: enhancing spatial domain analysis in multi-omics data through large language model integration,"We utilized the human lymph node dataset [25] obtained from 10× Genomics Visium CytAssist  to evaluate the performance of spaLLM in spatial domain identification, comparing it with"
Leveraging Artificial Intelligence for Automated Software Documentation Assessment: A Machine Learning Approach to Code Comment Evaluation,"This study examines how Generative AI can enhance these  We see that people worked  on source code comments with  15], but still, automatic quality evaluation of source code"
Assessing LLMs in malicious code deobfuscation of real-world malware campaigns,"Our contributions include a thorough analysis of LLM performance in malware deobfuscation,  identifying strengths and limitations, and discussing the potential for integrating LLMs into"
ChatCAD+: Toward a universal and reliable interactive CAD using LLMs,"The source code is available at GitHub.  Initially, we provide the LLM with only titles of five  related medical topics  5, we visualize the domain identification performance of different CLIP"
Powerpm: Foundation model for power systems,"The same as dataset context in Time-LLM, UniTime also designs human-crafted instructions   domain identification information. To implement UniTime, we utilized their open-source code"
Modular Monolith Architecture in Cloud Environments: A Systematic Literature Review,defining clear APIs that facilitate future microservice extraction through modularisation [38].   as [37] that propose a large language model-based approach for decomposing monolithic
A state-of-the-art review on phishing website detection techniques,"For domain identification, the study monitored TLS CT Logs to track newly issued certificates  To avoid exceeding LLM token limitations, the source code is divided into chunks using a"
Cybersecurity Data Extraction from Common Crawl,— and trained the Falcon LLM using the data extracted by  FineWeb dataset by using a  LLM annotator to create training  • Evaluate the domain extraction phase. In this paper we just
FlowMind: Execute-Summarize for Structured Workflow Generation from LLM Reasoning,"must infer tool semantics from documentation rather than relying on source code access.   Domain identification. Rather than enumerating a fixed taxonomy of application verticals, we"
Monolith to Microservices: A Systematic Meta-Analysis for Software Engineering Tasks and Machine Learning-Driven Migration,"Graph neural network to dilute outliers for refactoring monolith application, in: Proceedings  of the AAAI conference on artificial intelligence, pp. 72–80. [26] Di Francesco, P., 2017."
Relationship Detection on Tabular Data Using Statistical Analysis and Large Language Models,"2), domain extraction showed the most significant and clear improvements, indicating that a  reduced and more relevant search space helps the LLM  made by the LLM was propagated"
Decoding the mystery: How can LLMs turn text into cypher in complex knowledge graphs?,to improve the LLM performance in the Text-to-Cypher task. The source code is available  in  representations affects the performance of the LLM in generating valid schema-aware
Selfcodealign: Self-alignment for code generation,"a base LLM could learn more effectively from data within its own distribution than a shifted  distribution from a teacher LLM. Additionally,  Our source code is licensed under Apache-2.0."
A big step forward? a user-centric examination of ios app privacy report and enhancements,"Firstly, we combine dynamic analysis and prompt engineering to harness LLMs’ capabilities   LLM’s knowledge base in handling domain identification tasks, and our pipeline is feasible."
Métricas em microsserviços: análise da ISO/IEC 25010 e recomendações por LLM,"As pesquisas futuras estarão focadas no aprofundamento de Large Language Models (LLM),  no engajamento dos usuários em ferramentas baseadas em LLM, e na melhoria da LLM"
ChatSpatial: Schema-Enforced Agentic Orchestration for Reproducible and Cross-Platform Spatial Transcriptomics,"We present ChatSpatial, a platform in which the LLM selects  —and validation across seven  LLM platforms demonstrate that  unsupervised spatial domain identification on each sample."
AI-Driven Microservice Identification for Business Process Digital Transformation: A Multi-Dependency Collaborative Clustering Approach,"In contrast to existing approaches that primarily rely on software artifacts are logically grouped  during microservice extraction.  First, we intend to integrate generative AI models, such as"
Preference Guided Meta-Learning for Cross Domain Time Series Forecasting,The source code will be made publicly available upon  provide explicit domain identification  information and align time  experimental setup outlined in (TIME-LLM [34]) and assess the
Monoliths Decomposition Techniques for Microservices,"This thesis introduces a tool for supporting the monolith decomposition process, focusing on   To address this limitation, the workflow integrates large language model-based analysis to"
Leveraging LLMs for detecting phishing websites,"in other domains as well In source code analysis, for instance, LLMs can effectively analyze   for phishing domain identification. Among all the research works that developed LLM and"
"From Birdwatch to Community Notes, from Twitter to X: four years of community-based content moderation","dataset and accompanying source code to support future  an LLM were more likely to  produce higher-quality Notes49.  topic modelling, URL and domain extraction, and constructed"
"The Rise of Large Language Models: Evolution, Applications, and Future Directions",although it documents LLM-based research and other forms of research detailing LLM-based   method and system understanding through domain identification. Increasing. The primary
User simulation in task-oriented dialog systems based on large language models via in-context learning,"importance of human-computer interaction and natural language processing is highlighted  by significant advances such as the introduction of ChatGPT, a Large Language Model (LLM)-"
"Wikontic: Constructing Wikidata-Aligned, Ontology-Aware Knowledge Graphs with Large Language Models","Knowledge graphs (KGs) provide structured, verifiable grounding for large language models  (LLMs), but current LLM-based systems commonly use KGs as auxiliary structures for text"
LLMs Got Rhythm? Hybrid Phonological Filtering for Greek Poetry Rhyme Detection and Generation,"Moving on to the LLM era, we find byte-level transformers such as ByGPT5 (Belouadi and   • Rhyme Domain Extraction. The domain of the rhyme extends from the stressed vowel until"
Experience and evidence are the eyes of an excellent summarizer! towards knowledge infused multi-modal clinical conversation summarization,"We propose a knowledge-infused, multi-modal, multi-tasking medical domain identification  and clinical conversation summary generation (MMCliConSummation) framework. It"
Integrated Technique of Natural Language Texts and Source Codes Authorship Verification in the Academic Environment,"generative models for text and source code creation. The article  -prompting techniques in  prompt engineering. The prompt  preprocessing stage, domain identification, data cleansing,"
stSCI: A multi-task learning framework for integrative analysis of single-cell and spatial transcriptomics data,"tasks, including spatial domain identification and cell type  , we have made the source code  and detailed instructions for  To evaluate the performance of stSCI in domain identification"
An empirical study of business process models and model clones on GitHub,"Initially, we attempted a top-down approach for domain identification by creating a list of  popular application domains for process modeling. This list was compiled from use cases"
Optimizing Microservice Design Parameters,"deployable microservice application source code in tens of seconds. The source code of a   , this step can be performed using a simple LLM or existing code refactoring tools. Our system"
DREAM: Deep Research Evaluation with Agentic Metrics,"prone to becoming outdated, or LLMas-a-judge paradigms limited to the LLM’s static internal   The pipeline extracted granular, leaf-level criteria from benchmark source code and docu"
High Performance Computing Enabled Probabilistic Framework for Migration from Monolithic to Microservices Architecture,the key challenges of transitioning from monolith to microservices and identifying the common   [S7] put forth a microservice extraction model which identifies candidate microservices in
MME-RAG: Multi-Manager-Expert Retrieval-Augmented Generation for Fine-Grained Entity Recognition in Task-Oriented Dialogues,The proposed decomposition paradigm demonstrates that structured reasoning and targeted  retrieval can jointly enhance the adaptability of LLM-based NER systems. Future research
Analyzing Patterns of Conversational Breakdown in Human-Chatbot Customer Service Conversations,Although new possibilities involving generative AI should make it easier to prevent  Not  all categories on the LanguageTool webpage and the LanguageTool source code have
Developing a Framework for the Quality-Driven Migration to Microservices: A Multi-Method Design Science Study,"As a prominent example, the Istio project recently reported on their migration back to a  monolith, acknowledging that microservices are not always the best fit [76]. It underpins the need"
The use of translation technologies and generative artificial intelligence by terminology professionals in institutional settings: a case study.,"This contribution explores the use of translation technologies, including machine translation  and generative artificial intelligence (GenAI), by terminology professionals in institutional"
Finite state automata on multi-word units for efficient text-mining,semantic-based knowledge domain extraction technique in unstructured documents.  The  system achieved knowledge domain identification in 91% of cases. It is configured as stand-
Mastering Enterprise Solution Modeling,"source code or other supplementary material referenced by the author in this book can be  found here: https://www.apress.com/gp/services/source-code GenAI technology, LLM, NLP,"
TissueNarrator: Generative Modeling of Spatial Transcriptomics with Large Language Models,-based analysis – such as spatial domain identification or cell-type  The spatial sentence  can be interpreted by an LLM with  Text output of the LLM can be further transformed into gene
Skill Weaving: Efficient Self-Improvement of LLMs via Modular Skillpacks,improvement framework that enables an LLM to enhance itself under  on the underappreciated  role of LLM’s internal capability  concerns regarding domain identification when activating
Analyzing Patterns of Conversational,Although new possibilities involving generative AI should make it easier to  Not all  categories on the LanguageTool webpage and the LanguageTool source code have consistent
ME2-BERT: Are events and emotions what you need for moral foundation prediction?,"-based, BERTbased and LLM approaches, with average per Our domain identification  strategy could not always result in  used their publicly available source code. For MoralStrength,"
Optimization of Malicious Code Detection Model for Web3. 0 Binary Files Based on Convolutional Neural Network and Graph Convolutional Neural Network,multimodal features by combining ring domain extraction algorithm and graph convolutional   by compiling cross-platform source code embedded with elliptic curve cryptography
"From Black to White, From Passive to Proactive: Developing an Explainable Reference-Based System for Comprehensive Phishing Monitoring","the brand intention from the source code. Another trick is to  In PhishLLM, we let LLM  read the webpage and generate  detailed in Table 4.5, encompassing domain extraction (domain(.))"
COOL: Efficient and Reliable Chain-Oriented Objective Logic with Neural Networks Feedback Control for Program Synthesis,"all tasks rely on the same LLM, making the logic vulnerable to  rule application policies for  source code partial programs and  Various output layers handle domain identification for task"
"Advanced Intelligent Computing in Bioinformatics: 20th International Conference, ICIC 2024, Tianjin, China, August 5–8, 2024, Proceedings, Part I",This two-volume set LNBI 14881-14882 constitutes-in conjunction with the 13-volume set  LNCS 14862-14874 and the 6-volume set LNAI 14875-14880-the refereed proceedings of the
Towards content authenticity: Multimodal fake news detection and ai-generated text identification,"In today’s digital world, the spread of fake news and the rise of AI-generated text have  become major threats to content authenticity and public trust. This thesis addresses both"
Applications of Deep Reinforcement Learning in Practical Sequential Information Acquisition Problems,"We demonstrate its use in the practical problem of malicious web domain identification,  where it leads to substantial savings, compared to cost-agnostic methods. While the method can"
Deep learning in single-cell analysis,Spatial domain identification partitions spatial transcriptomics data into meaningful regions  using graph-based deep learning. Cell type deconvolution estimates composition of mixed-
Latent feature extraction with a prior-based self-attention framework for spatial transcriptomics,"by PAST facilitate various tasks including domain identification, trajectory inference, pseudotime   Third, the rapid development of graph neural network and large language model field"
Predicting fine-grained cell types from histology images through cross-modal learning in spatial transcriptomics,"enabled downstream analyses, such as spatial domain identification and cell proportion  estimation,  The source code of CUCA is available in GitHub, at github.com/ lyotvincent/CUCA."
Responsible AI for Healthcare and Community Well-Being From Ethical Design to Practical Deployment,"Our model demonstrated robust performance across various evaluation settings: achieving  F1 scores of 0.9101 for in-domain extraction (training and testing on MIMIC-III data), 0.8053"
Soccer Coach Decision Support System,"The savage essence and nature of sports means those who work on it hunt for the win. The  sport enterprise is undergoing a gigantic digital transformation focused on imaging, real time"
The ARSINOE Knowledge Management Framework to support the development of Climate-resilient regions,"Currently, various solutions, software artifacts, and frameworks are made available to   integration, optimization, and cross-domain extraction. Her research interests include knowledge"
Development of Artificial Intelligence Techniques in Spatial Transcriptomics,This thesis was completed without the assistance of generative AI (GenAI).  on two critical  challenges in spatial transcriptomics: cell segmentation and spatial domain identification.
"The Transcriptome Analysis and Comparison Explorer—T-ACE: a platform-independent, graphical tool to process large RNAseq datasets of non-model organisms","of the database structure and open-source code provides a framework that can be customized   Alternatively, BLAST annotation and protein domain identification (InterProScan) can be"
Inferring causal trajectories from spatial transcriptomics using CASCAT,"the precision of spatial domain identification, a critical factor in  to improve spatial domain  identification outperformed stLearn,  more accurate spatial domain identification than stLearn by"
Solution Strategies for Nonlinear Multiscale Multipatch Problems with Application to Analysis of Local Singularities,"This need for access to the source code of the FE software limits the method’s wider   Since the application of the boundary condition does not require access to the source code, the"
SpectraNet: a lightweight hybrid time–frequency deep learning framework for sustainable cloud workload forecasting,The rapid proliferation of cloud computing has created the demand for sustainable resource  management strategies to address the increasing energy consumption and carbon footprint
Bridging the Gap Between Traditional and Contemporary Compression Algorithms: Analytical Insights from LZ77 to Zstandard,"In problem domain identification, the research begins with compression speed, throughput  speed and computation tradeoffs. The reverse engineering is to sacrifice accuracy and"
The convergence of nanomanufacturing and artificial intelligence: trends and future directions,"Indeed a plurality of manufacturers identified legacy system integration as a major barrier  to  In summary, AI, and its subsets such as ML, DL, generative AI etc have already"
SMOTE and Mirrors: Exposing Privacy Leakage from Synthetic Minority Oversampling,"We will release the source code for our attacks along the final version of the paper.   Understanding the Impact of Data Domain Extraction on Synthetic Data Privacy. In ICLR SynthData,"
CellPatch: a Highly Efficient Foundation Model for Single-Cell Transcriptomics with Heuristic Patching,"When integrated with STAGATE 18 , a prominent spatial transcriptomics analysis algorithm,  CellPatch significantly improves spatial domain identification, leading to more precise"
SAINT: Sequence-Aware Integration for Spatial Transcriptomics Multi-View Clustering,(B) Comparison of spatial domain identification results produced by competing methods. (C)  UMAP projection of learned embeddings. (D) Spatial expression patterns of representative
Методи машинного навчання в модернізації програмних компонентів комплексних інформаційних систем,LLM-моделi можуть генерувати некоректний або нефункцiональний код особливо за  наявностi доменного зсуву чи дефiциту якiсних даних. GNN-моделi iнодi створюють неста
Enhancing Robustness and Accuracy in Nonlinear System Identification: With Applications to Industrial Robotics,"Nonlinear system identification is the procedure of obtaining nonlinear models of dynamical  systems, based on input-output measurements collected from them. It is an important"
"Convergence of blockchain, IoT, and machine learning: exploring opportunities and challenges–a systematic review","With the rapid technological advancement, the convergence of the Internet of Things (IoT),  blockchain, and machine learning (ML) has a significant revolution across industries, driving"
SMOTE AND MIRRORS: EXPOSING PRIVACY LEAK-AGE FROM SYNTHETIC MINORITY OVERSAMPLING,We will release the source code for our attacks along with the final version of the paper.   Understanding the Impact of Data Domain Extraction on Synthetic Data Privacy. In ICLR
SpaLSTF: Diffusion-based generative model with BiLSTM and XCA-Transformer for spatial transcriptomics imputation,"Spatial transcriptomics (ST) technologies provide powerful tools for analyzing spatial  distribution patterns of gene expression in tissue samples. However, they are limited by sparse"
"DTractor enhances cell type deconvolution in spatial transcriptomics by integrating deep neural networks, transfer learning, and matrix factorization","By enabling accurate and interpretable spatial deconvolution, DTractor can facilitate  down-stream analyses such as tissue microenvironment profiling, spatial domain identification, and"
Visual analytics at the atlas scale for multimodal and spatial single-cell data,"Scientific measurements at the resolution of individual cells–single-cell experiments–are  central to biology because the cell is the fundamental unit of life. In the past decade,"
Connecting the dots: deep learning-based automated model building methods in cryo-EM,The resolution revolution in single particle cryo-electron microscopy (cryo-EM) has  dramatically expanded our structural knowledge of large biomolecular complexes. While high-
Conformational analysis of alternative protein structures,"Availability: The results of the analysis of the SCOP alternative models, the estimates of  coordinate uncertainty as well as the source code of the implementation are available in the"
